game_id,quarter_seconds_remaining,yards_gained,air_yards,score_differential,incomplete_pass,interception,penalty,touchdown,complete_pass,out_of_bounds,pass_length
2025_01_ARI_NO,858.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_ARI_NO,655.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,651.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,634.0,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,398.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,317.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,314.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_ARI_NO,296.0,11.0,5.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,254.0,13.0,13.0,-3.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_ARI_NO,11.0,12.0,3.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,900.0,7.0,-5.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,860.0,6.0,-2.0,-4.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,821.0,45.0,39.0,-4.0,0.0,0.0,0.0,0.0,1.0,1,deep
2025_01_ARI_NO,610.0,1.0,1.0,-4.0,0.0,0.0,0.0,1.0,1.0,0,short
2025_01_ARI_NO,578.0,5.0,5.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,526.0,10.0,6.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,470.0,4.0,1.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,350.0,0.0,21.0,-3.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_ARI_NO,342.0,3.0,3.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,293.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,289.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,286.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,208.0,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,169.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,127.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,76.0,4.0,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,32.0,4.0,-2.0,0.0,0.0,0.0,0.0,1.0,1.0,0,short
2025_01_ARI_NO,896.0,2.0,-3.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,859.0,17.0,17.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,deep
2025_01_ARI_NO,800.0,2.0,2.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,747.0,-1.0,-6.0,7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,653.0,0.0,22.0,7.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_ARI_NO,602.0,-2.0,-2.0,7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,549.0,0.0,8.0,-10.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,545.0,12.0,9.0,-10.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,483.0,0.0,5.0,-10.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,478.0,11.0,11.0,-10.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,445.0,8.0,-2.0,-10.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,423.0,6.0,0.0,-10.0,0.0,0.0,0.0,0.0,1.0,1,short
